parameter,count,mean,std,min,10%,50%,90%,max
discount_rate,10000.0,0.03832015786367197,0.008287936467331425,0.020125322804322745,0.0276355519473292,0.03765572794825409,0.04996265222544611,0.0597081232612048
energy_price_eur_kwh,10000.0,0.2831538785685214,0.050954894543660534,0.14740187912694122,0.22105463754965238,0.27857150201321357,0.3508550534674983,0.5192589026251717
energy_price_growth,10000.0,0.024906073609448534,0.01338859329581943,-0.0046887678913931355,0.0074806522335441605,0.023923343021319668,0.04360458688983879,0.05988030407066663
rent_growth,10000.0,0.016687128648146348,0.0071925703536747,0.00012841933411431969,0.007150521872382127,0.016333638608467847,0.026684486743599037,0.03498699761285729
grant_share,10000.0,0.20101520272304554,0.07968189621009641,0.0,0.09764479983195103,0.20010512878918357,0.3046689746545505,0.4
capex_factor,10000.0,1.0578799011630573,0.12775682494996937,0.6872377442048019,0.898193403312825,1.0512550274276755,1.2248738137666229,1.7314017129103885
performance_factor,10000.0,0.9498372173299721,0.09759764571421878,0.65,0.8230968561067454,0.9513172228460391,1.0778015865002488,1.15
value_uplift_factor,10000.0,0.9981418743753798,0.17619679909680336,0.55,0.7668360056775794,1.001107060301098,1.2324376632214666,1.35
