sample_size,seed,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,positive_frequency_wilson95_low,positive_frequency_wilson95_high,comparison_sample_size,is_largest_sample_reference,abs_difference_vs_largest_mean_net_benefit_eur,abs_difference_vs_largest_probability_positive,abs_difference_vs_largest_p10_net_benefit_eur,abs_difference_vs_largest_worst_decile_mean_eur,abs_difference_vs_largest_p95_regret_eur,within_diagnostic_tolerances,metrics_evaluated
25000,271828,owner,Envelope retrofit,False,True,-346421.4086129438,-341002.4608086739,-446873.07160015777,-253181.9148462146,0.0,0.0,-488444.75904291746,346421.4086129438,478318.46669480664,0.0,83139.38620577584,1.49676,0.0,0.34874032127611004,0.15899753919132611,0.17770825116360264,2,False,0.0,0.00015363474556582426,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,0.0,0.00015363474556582426,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,tenant,Deep renovation + PV,False,True,1329252.7261904532,1249314.762624228,767777.725362402,1997487.0508497066,1.0,1.0,640483.3004854732,0.0,0.0,1.0,725801.7158151718,5.36788,1.0,1.0,1.0,0.9999999999999999,1,True,0.9998463652544344,1.0,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,tenant,Envelope + heat pump,False,True,751375.7124261666,705379.9919903029,425898.8413265366,1138491.7903450513,1.0,1.0,352563.4665782577,577877.0137642865,978452.8339469058,0.0,337644.74182999576,2.53268,1.0,1.0,1.0,0.9999999999999999,1,False,0.9998463652544344,1.0,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,tenant,Envelope retrofit,False,True,374718.6173674296,352316.3722200125,217319.58836522908,562163.3121208047,1.0,1.0,181771.0859394509,954534.1088230235,1639760.1934649097,0.0,83139.38620577584,1.49676,1.0,1.0,0.8523163722200124,0.9483107302770042,3,False,0.9998463652544344,1.0,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1329252.7261904532,2280473.7648013737,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,0.0,0.00015363474556582426,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,combined_private,Deep renovation + PV,False,True,-676084.060894479,-722108.0062715097,-1377744.8071370586,89606.07618920207,0.1238,0.1238,-1621487.554116481,782663.7322477268,1566247.4557695219,0.02468,725801.7158151718,5.36788,0.1238,0.0,0.0,0.03714,4,False,0.11977507179069859,0.12794052299186515,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,combined_private,Envelope + heat pump,False,True,-92625.68303305194,-125633.35057786576,-474342.5338453991,335270.6069430163,0.3422,0.3422,-593128.6483018338,199205.35438629953,567192.0612474454,0.18916,337644.74182999576,2.53268,0.3422,0.20916180226422162,0.37436664942213427,0.30689495809022455,3,False,0.3363434579075131,0.34810502921818753,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,combined_private,Envelope retrofit,False,True,28297.20875448575,12185.411267553403,-159104.02388395477,238113.76309983284,0.53288,0.53288,-215326.2920647539,78282.46259876185,249772.61669462442,0.31904,83139.38620577584,1.49676,0.53288,0.7128982772469947,0.5121854112675533,0.5886432909800918,1,True,0.5266908868593638,0.5390590101197679,25000,True,0.0,0.0,0.0,0.0,0.0,,5
25000,271828,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,106579.6713532476,493985.784387034,0.46712,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,0.0,0.00015363474556582426,25000,True,0.0,0.0,0.0,0.0,0.0,,5
1000,20260726,owner,Deep renovation + PV,False,True,-1993778.1560372051,-1973748.6417657365,-2434159.759262851,-1598692.5795153547,0.0,0.0,-2649322.533589394,1993778.1560372051,2588477.328290872,0.0,720316.6903929916,5.361,0.0,0.0,0.0,0.0,3,False,2.168404344971009e-19,0.0038267584855551234,25000,False,11983.046601235168,0.0,23028.965239600744,12452.602917483076,14537.401261778083,False,5
1000,20260726,owner,Envelope + heat pump,False,True,-840443.457889441,-828366.1575409423,-1034686.9514004964,-662242.8656691512,0.0,0.0,-1148062.1512611206,840443.457889441,1113590.093627063,0.0,336318.26425753185,2.539,0.0,0.0,0.0,0.0,3,False,2.168404344971009e-19,0.0038267584855551234,25000,False,3834.5549483562354,0.0,13461.41162647726,908.7237500369083,4784.223376488779,True,5
1000,20260726,owner,Envelope retrofit,False,True,-345152.6271558299,-339872.5573205182,-439495.18483769754,-255297.0844628024,0.0,0.0,-480438.1570818012,345152.6271558299,469555.87722362607,0.0,83015.61005763827,1.502,0.0,0.35941579055759837,0.1601274426794818,0.18184013163297805,2,False,2.168404344971009e-19,0.0038267584855551234,25000,False,1610.0724267119658,0.0,5866.401868436078,7921.98887494707,7771.193472089362,True,5
1000,20260726,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,2.168404344971009e-19,0.0038267584855551234,25000,False,0.0,0.0,0.0,0.0,0.0,True,5
1000,20260726,tenant,Deep renovation + PV,False,True,1319200.7474459815,1258197.888117803,790907.6067471495,1962808.4483786465,1.0,1.0,645804.9126315332,0.0,0.0,1.0,720316.6903929916,5.361,1.0,1.0,1.0,0.9999999999999999,1,True,0.996173241514445,1.0,25000,False,9339.201288668206,0.0,22606.410616445122,766.9065457541728,0.0,False,5
1000,20260726,tenant,Envelope + heat pump,False,True,745600.4061529365,709420.6806569815,441499.1639149425,1118148.7670396124,1.0,1.0,355608.99168302806,573600.3412930451,934708.819092932,0.0,336318.26425753185,2.539,1.0,1.0,1.0,0.9999999999999999,1,False,0.996173241514445,1.0,25000,False,5318.597514840541,0.0,14298.45268444193,398.27747272350825,37004.045897827484,False,5
1000,20260726,tenant,Envelope retrofit,False,True,371896.98700948554,355145.3980393152,224197.89849908167,552443.9221457862,1.0,1.0,183263.5416498269,947303.760436496,1559641.7760974283,0.0,83015.61005763827,1.502,1.0,1.0,0.8551453980393151,0.9493008893137602,3,False,0.996173241514445,1.0,25000,False,2627.6394876124104,0.0,6613.063712567993,219.1223631122557,69215.95826022304,False,5
1000,20260726,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1319200.7474459815,2170042.7969339234,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,2.168404344971009e-19,0.0038267584855551234,25000,False,0.0,0.0,0.0,0.0,96391.60502050584,False,5
1000,20260726,combined_private,Deep renovation + PV,False,True,-674577.4085912238,-722719.882278169,-1347572.855776166,24990.135628851032,0.112,0.112,-1580447.2413242015,773076.1307270871,1505959.8499359712,0.022,720316.6903929916,5.361,0.112,0.0,0.0,0.0336,4,False,0.09391954090888108,0.1330500236759097,25000,False,2643.8453125668457,0.008199999999999999,29773.61322918418,34291.98096183571,51600.94788784417,False,5
1000,20260726,combined_private,Envelope + heat pump,False,True,-94843.05173650454,-130765.67456516542,-452463.0635066279,290319.8359293697,0.332,0.332,-573268.3583416879,193341.77387236798,534468.4613894426,0.196,336318.26425753185,2.539,0.332,0.2356421888777494,0.3692343254348346,0.31130678000940437,3,False,0.30350363489239063,0.36178215595875596,25000,False,1484.0425664844515,0.01207999999999998,16110.334198168071,15565.737663392094,26471.5128821556,False,5
